Country,Quarter,Gold_Demand_Tonnes,Year,Q,Quarter_Num,Date,QoQ_Growth,YoY_Growth
India,Q3'20,94.6,2020,Q3,3,2020-07-01,0.4850863422291991,NA
Indonesia,Q3'20,9.9,2020,Q3,3,2020-07-01,0.3561643835616439,NA
Islamic Republic of Iran,Q3'20,16.3,2020,Q3,3,2020-07-01,0.6464646464646464,NA
Italy,Q3'20,2.4,2020,Q3,3,2020-07-01,0.33333333333333326,NA
Japan,Q3'20,3.6,2020,Q3,3,2020-07-01,35,NA
"Korea, Republic of",Q3'20,9.9,2020,Q3,3,2020-07-01,0.2857142857142858,NA
Kuwait,Q3'20,2.5,2020,Q3,3,2020-07-01,-0.16666666666666663,NA
Malaysia,Q3'20,3.7,2020,Q3,3,2020-07-01,0.6086956521739133,NA
Mexico,Q3'20,3.2,2020,Q3,3,2020-07-01,0.032258064516129004,NA
Pakistan,Q3'20,6.3,2020,Q3,3,2020-07-01,1.7391304347826089,NA
Russian Federation,Q3'20,9,2020,Q3,3,2020-07-01,0.8367346938775508,NA
Saudi Arabia,Q3'20,9.6,2020,Q3,3,2020-07-01,2.1999999999999997,NA
Singapore,Q3'20,2.6,2020,Q3,3,2020-07-01,1.166666666666667,NA
Spain,Q3'20,1.5,2020,Q3,3,2020-07-01,-0.0625,NA
Sri Lanka,Q3'20,0.7,2020,Q3,3,2020-07-01,0.3999999999999999,NA
Switzerland,Q3'20,7.5,2020,Q3,3,2020-07-01,-0.364406779661017,NA
Thailand,Q3'20,-43.8,2020,Q3,3,2020-07-01,0.09774436090225569,NA
Turkiye,Q3'20,55.5,2020,Q3,3,2020-07-01,1.3221757322175733,NA
UAE,Q3'20,5.2,2020,Q3,3,2020-07-01,1.4761904761904763,NA
United Kingdom,Q3'20,6.4,2020,Q3,3,2020-07-01,0.10344827586206895,NA
United States,Q3'20,50.1,2020,Q3,3,2020-07-01,0.527439024390244,NA
Vietnam,Q3'20,6.6,2020,Q3,3,2020-07-01,-0.02941176470588236,NA
Australia,Q4'20,0,2020,Q4,4,2020-10-01,NA,NA
Austria,Q4'20,3.1,2020,Q4,4,2020-10-01,0.29166666666666674,NA
Brazil,Q4'20,4.9,2020,Q4,4,2020-10-01,0.40000000000000013,NA
Canada,Q4'20,7.5,2020,Q4,4,2020-10-01,0.5306122448979591,NA
China,Q4'20,214.7,2020,Q4,4,2020-10-01,0.17258328782086285,NA
Egypt,Q4'20,7.4,2020,Q4,4,2020-10-01,0.17460317460317465,NA
France,Q4'20,5.1,2020,Q4,4,2020-10-01,0.5937499999999998,NA
Germany,Q4'20,42.6,2020,Q4,4,2020-10-01,0.3876221498371337,NA
India,Q4'20,186.2,2020,Q4,4,2020-10-01,0.9682875264270614,NA
Indonesia,Q4'20,12.5,2020,Q4,4,2020-10-01,0.26262626262626254,NA
Islamic Republic of Iran,Q4'20,13.5,2020,Q4,4,2020-10-01,-0.17177914110429449,NA
Italy,Q4'20,7.6,2020,Q4,4,2020-10-01,2.1666666666666665,NA
Japan,Q4'20,4.3,2020,Q4,4,2020-10-01,0.19444444444444442,NA
"Korea, Republic of",Q4'20,9.8,2020,Q4,4,2020-10-01,-0.010101010101010055,NA
Kuwait,Q4'20,3.4,2020,Q4,4,2020-10-01,0.3599999999999999,NA
Malaysia,Q4'20,3.8,2020,Q4,4,2020-10-01,0.027027027027026973,NA
Mexico,Q4'20,3.2,2020,Q4,4,2020-10-01,0,NA
Pakistan,Q4'20,8.9,2020,Q4,4,2020-10-01,0.4126984126984128,NA
Russian Federation,Q4'20,10.1,2020,Q4,4,2020-10-01,0.12222222222222223,NA
Saudi Arabia,Q4'20,9.1,2020,Q4,4,2020-10-01,-0.05208333333333337,NA
Singapore,Q4'20,2.7,2020,Q4,4,2020-10-01,0.03846153846153855,NA
Spain,Q4'20,2.1,2020,Q4,4,2020-10-01,0.40000000000000013,NA
Sri Lanka,Q4'20,1.7,2020,Q4,4,2020-10-01,1.4285714285714288,NA
Switzerland,Q4'20,9.6,2020,Q4,4,2020-10-01,0.28,NA
Thailand,Q4'20,-5.3,2020,Q4,4,2020-10-01,-0.8789954337899544,NA
Turkiye,Q4'20,35.7,2020,Q4,4,2020-10-01,-0.35675675675675667,NA
UAE,Q4'20,8.1,2020,Q4,4,2020-10-01,0.5576923076923075,NA
United Kingdom,Q4'20,10.6,2020,Q4,4,2020-10-01,0.6562499999999998,NA
United States,Q4'20,66.8,2020,Q4,4,2020-10-01,0.33333333333333326,NA
Vietnam,Q4'20,9.6,2020,Q4,4,2020-10-01,0.4545454545454546,NA
Australia,Q1'21,7.7,2021,Q1,1,2021-01-01,Inf,Inf
Austria,Q1'21,3.2,2021,Q1,1,2021-01-01,0.032258064516129004,0.14285714285714302
Brazil,Q1'21,3.3,2021,Q1,1,2021-01-01,-0.3265306122448981,-0.08333333333333337
Canada,Q1'21,5.4,2021,Q1,1,2021-01-01,-0.2799999999999999,0.2558139534883723
China,Q1'21,289.3,2021,Q1,1,2021-01-01,0.3474615742897067,1.7164319248826292
Egypt,Q1'21,8.9,2021,Q1,1,2021-01-01,0.20270270270270263,0.1410256410256412
France,Q1'21,3.8,2021,Q1,1,2021-01-01,-0.2549019607843137,0.18749999999999978
Germany,Q1'21,45.6,2021,Q1,1,2021-01-01,0.07042253521126751,-0.04402515723270439
India,Q1'21,165.8,2021,Q1,1,2021-01-01,-0.10955961331901165,0.6270853778213936
Indonesia,Q1'21,11.5,2021,Q1,1,2021-01-01,-0.07999999999999996,0.4375
Islamic Republic of Iran,Q1'21,12.2,2021,Q1,1,2021-01-01,-0.09629629629629632,-0.2650602409638555
Italy,Q1'21,2.2,2021,Q1,1,2021-01-01,-0.7105263157894737,0.10000000000000009
Japan,Q1'21,8.2,2021,Q1,1,2021-01-01,0.9069767441860463,-3.3428571428571425
"Korea, Republic of",Q1'21,10.9,2021,Q1,1,2021-01-01,0.11224489795918369,0.379746835443038
Kuwait,Q1'21,4.5,2021,Q1,1,2021-01-01,0.32352941176470584,0.0714285714285714
Malaysia,Q1'21,4.2,2021,Q1,1,2021-01-01,0.10526315789473695,0.27272727272727293
Mexico,Q1'21,3.2,2021,Q1,1,2021-01-01,0,-0.1578947368421052
Pakistan,Q1'21,11.9,2021,Q1,1,2021-01-01,0.3370786516853932,0.05309734513274322
Russian Federation,Q1'21,10.3,2021,Q1,1,2021-01-01,0.01980198019801982,-0.04629629629629628
Saudi Arabia,Q1'21,11,2021,Q1,1,2021-01-01,0.20879120879120894,0.17021276595744683
Singapore,Q1'21,3.5,2021,Q1,1,2021-01-01,0.2962962962962963,0.2068965517241379
Spain,Q1'21,1.6,2021,Q1,1,2021-01-01,-0.23809523809523814,-0.05882352941176461
Sri Lanka,Q1'21,1.8,2021,Q1,1,2021-01-01,0.05882352941176472,0.3846153846153846
Switzerland,Q1'21,13,2021,Q1,1,2021-01-01,0.35416666666666674,-0.0714285714285714
Thailand,Q1'21,8.3,2021,Q1,1,2021-01-01,-2.566037735849057,0.10666666666666669
Turkiye,Q1'21,53.2,2021,Q1,1,2021-01-01,0.4901960784313726,0.6677115987460818
UAE,Q1'21,10.7,2021,Q1,1,2021-01-01,0.3209876543209875,-0.053097345132743445
United Kingdom,Q1'21,6,2021,Q1,1,2021-01-01,-0.4339622641509434,-0.11764705882352944
United States,Q1'21,58.2,2021,Q1,1,2021-01-01,-0.12874251497005984,0.5437665782493368
Vietnam,Q1'21,18.6,2021,Q1,1,2021-01-01,0.9375000000000002,0.1071428571428572
Australia,Q2'21,7.8,2021,Q2,2,2021-04-01,0.01298701298701288,Inf
Austria,Q2'21,2.9,2021,Q2,2,2021-04-01,-0.09375000000000011,-0.12121212121212122
Brazil,Q2'21,4.2,2021,Q2,2,2021-04-01,0.27272727272727293,0.050000000000000044
Canada,Q2'21,6.9,2021,Q2,2,2021-04-01,0.2777777777777777,0.6829268292682928
China,Q2'21,211.5,2021,Q2,2,2021-04-01,-0.2689249913584515,0.5437956204379562
Egypt,Q2'21,7.8,2021,Q2,2,2021-04-01,-0.12359550561797761,2.9
France,Q2'21,2.9,2021,Q2,2,2021-04-01,-0.23684210526315785,0.15999999999999992
Germany,Q2'21,46.9,2021,Q2,2,2021-04-01,0.028508771929824483,0.039911308203991025
India,Q2'21,119.6,2021,Q2,2,2021-04-01,-0.2786489746682751,0.8775510204081631
Indonesia,Q2'21,8.1,2021,Q2,2,2021-04-01,-0.29565217391304355,0.1095890410958904
Islamic Republic of Iran,Q2'21,9.4,2021,Q2,2,2021-04-01,-0.2295081967213114,-0.0505050505050505
Italy,Q2'21,3.4,2021,Q2,2,2021-04-01,0.5454545454545452,0.8888888888888888
Japan,Q2'21,0.2,2021,Q2,2,2021-04-01,-0.975609756097561,1
"Korea, Republic of",Q2'21,9.4,2021,Q2,2,2021-04-01,-0.13761467889908252,0.22077922077922074
Kuwait,Q2'21,4.4,2021,Q2,2,2021-04-01,-0.022222222222222143,0.4666666666666668
Malaysia,Q2'21,3.3,2021,Q2,2,2021-04-01,-0.2142857142857144,0.4347826086956521
Mexico,Q2'21,3.5,2021,Q2,2,2021-04-01,0.09375,0.12903225806451601
Pakistan,Q2'21,9.2,2021,Q2,2,2021-04-01,-0.2268907563025211,3
Russian Federation,Q2'21,10.8,2021,Q2,2,2021-04-01,0.04854368932038833,1.204081632653061
Saudi Arabia,Q2'21,10.1,2021,Q2,2,2021-04-01,-0.0818181818181819,2.3666666666666667
Singapore,Q2'21,2.7,2021,Q2,2,2021-04-01,-0.22857142857142854,1.2500000000000004
Spain,Q2'21,1.9,2021,Q2,2,2021-04-01,0.18749999999999978,0.18749999999999978
Sri Lanka,Q2'21,1,2021,Q2,2,2021-04-01,-0.4444444444444444,1
Switzerland,Q2'21,12,2021,Q2,2,2021-04-01,-0.07692307692307687,0.016949152542372836
Thailand,Q2'21,7.5,2021,Q2,2,2021-04-01,-0.09638554216867479,-1.1879699248120301
Turkiye,Q2'21,12.2,2021,Q2,2,2021-04-01,-0.7706766917293233,-0.4895397489539749
UAE,Q2'21,8.8,2021,Q2,2,2021-04-01,-0.17757009345794383,3.1904761904761907
United Kingdom,Q2'21,7.6,2021,Q2,2,2021-04-01,0.2666666666666666,0.31034482758620685
United States,Q2'21,67.4,2021,Q2,2,2021-04-01,0.15807560137457055,1.054878048780488
Vietnam,Q2'21,12.6,2021,Q2,2,2021-04-01,-0.32258064516129037,0.8529411764705883
Australia,Q3'21,6.5,2021,Q3,3,2021-07-01,-0.16666666666666663,Inf
Austria,Q3'21,2.5,2021,Q3,3,2021-07-01,-0.13793103448275856,0.04166666666666674
Brazil,Q3'21,3.7,2021,Q3,3,2021-07-01,-0.11904761904761907,0.05714285714285716
Canada,Q3'21,4.6,2021,Q3,3,2021-07-01,-0.33333333333333337,-0.061224489795918546
China,Q3'21,228.7,2021,Q3,3,2021-07-01,0.08132387706855781,0.2490442381212452
Egypt,Q3'21,9,2021,Q3,3,2021-07-01,0.15384615384615397,0.4285714285714286
France,Q3'21,3.2,2021,Q3,3,2021-07-01,0.10344827586206895,0
Germany,Q3'21,35.8,2021,Q3,3,2021-07-01,-0.2366737739872069,0.16612377850162852
India,Q3'21,168,2021,Q3,3,2021-07-01,0.4046822742474918,0.7758985200845667
Indonesia,Q3'21,13.1,2021,Q3,3,2021-07-01,0.617283950617284,0.3232323232323231
Islamic Republic of Iran,Q3'21,15.4,2021,Q3,3,2021-07-01,0.6382978723404256,-0.05521472392638038
Italy,Q3'21,2.7,2021,Q3,3,2021-07-01,-0.2058823529411764,0.12500000000000022
Japan,Q3'21,5.9,2021,Q3,3,2021-07-01,28.5,0.6388888888888888
"Korea, Republic of",Q3'21,9.1,2021,Q3,3,2021-07-01,-0.03191489361702138,-0.08080808080808088
Kuwait,Q3'21,3.7,2021,Q3,3,2021-07-01,-0.15909090909090917,0.48
Malaysia,Q3'21,2.2,2021,Q3,3,2021-07-01,-0.33333333333333326,-0.4054054054054054
Mexico,Q3'21,3.5,2021,Q3,3,2021-07-01,0,0.09375
Pakistan,Q3'21,9.7,2021,Q3,3,2021-07-01,0.05434782608695654,0.5396825396825395
Russian Federation,Q3'21,12.7,2021,Q3,3,2021-07-01,0.17592592592592582,0.411111111111111
Saudi Arabia,Q3'21,11,2021,Q3,3,2021-07-01,0.08910891089108919,0.14583333333333348
Singapore,Q3'21,2.1,2021,Q3,3,2021-07-01,-0.2222222222222222,-0.1923076923076923
Spain,Q3'21,1.8,2021,Q3,3,2021-07-01,-0.05263157894736836,0.19999999999999996
